exp,lg,nm,pfm,sea
81.47894348403145,Premier League,Manchester United,8.52105651596855,08/09
44.97010803251821,Premier League,Newcastle United,-10.970108032518219,08/09
71.93681656848246,Premier League,Arsenal,0.06318343151754258,08/09
37.112622230457916,Premier League,West Bromwich Albion,-5.1126222304579105,08/09
43.400273479753395,Premier League,Sunderland,-7.400273479753393,08/09
75.23158397157705,Premier League,Liverpool,10.768416028422948,08/09
44.96852787814316,Premier League,West Ham United,6.031472121856843,08/09
44.356052124738156,Premier League,Wigan Athletic,0.6439478752618479,08/09
57.929519800833155,Premier League,Aston Villa,4.0704801991668464,08/09
53.10203180622353,Premier League,Manchester City,-3.102031806223531,08/09
53.079130555754865,Premier League,Everton,9.920869444245152,08/09
46.939412463131035,Premier League,Blackburn Rovers,-5.939412463131039,08/09
44.1409487834801,Premier League,Middlesbrough,-12.140948783480098,08/09
55.28833493834448,Premier League,Tottenham Hotspur,-4.28833493834448,08/09
42.5758260061626,Premier League,Bolton Wanderers,-1.5758260061625977,08/09
36.04692951950159,Premier League,Stoke City,8.953070480498411,08/09
38.7196125750024,Premier League,Hull City,-3.719612575002402,08/09
43.78340649839094,Premier League,Fulham,9.216593501609061,08/09
79.21929791173791,Premier League,Chelsea,3.7807020882621165,08/09
46.38926038978954,Premier League,Portsmouth,-5.389260389789547,08/09
45.84884648415587,Ligue 1,AJ Auxerre,9.151153515844129,08/09
44.41799383744727,Ligue 1,FC Nantes,-9.499074918528352,08/09
66.32336781891345,Ligue 1,Girondins de Bordeaux,13.67663218108655,08/09
45.258452906000585,Ligue 1,SM Caen,-8.258452906000585,08/09
36.986193400690574,Ligue 1,Le Havre AC,-10.986193400690574,08/09
48.43146338671835,Ligue 1,OGC Nice,1.5685366132816523,08/09
47.387696575107945,Ligue 1,Le Mans FC,-7.387696575107939,08/09
46.20094111117895,Ligue 1,FC Lorient,-1.2009411111789543,08/09
73.07654606385829,Ligue 1,Olympique Lyonnais,-0.1576271449393564,08/09
52.04274904834617,Ligue 1,Toulouse FC,11.957250951653826,08/09
47.872624292789865,Ligue 1,AS Monaco,-2.8726242927898746,08/09
60.60066313147883,Ligue 1,Paris Saint-Germain,3.399336868521152,08/09
48.44952873366334,Ligue 1,AS Nancy-Lorraine,-6.449528733663341,08/09
58.85548025717907,Ligue 1,LOSC Lille,5.144519742820929,08/09
56.27183276449546,Ligue 1,Stade Rennais FC,4.728167235504552,08/09
67.30571576290544,Ligue 1,Olympique de Marseille,9.694284237094552,08/09
46.867207701658444,Ligue 1,FC Sochaux-Montbéliard,-4.86720770165844,08/09
42.23157941496146,Ligue 1,Grenoble Foot 38,1.7684205850385406,08/09
42.75119489670565,Ligue 1,Valenciennes FC,1.24880510329435,08/09
51.85195964539312,Ligue 1,AS Saint-Étienne,-11.851959645393121,08/09
77.4115848085736,Bundesliga,FC Bayern Munich,-2.529231867397114,08/09
62.53594359809689,Bundesliga,Hamburger SV,5.640526990138397,08/09
61.05583609476143,Bundesliga,Bayer 04 Leverkusen,-6.291130212408488,08/09
55.911574548273464,Bundesliga,Borussia Dortmund,10.02960192231477,08/09
62.86277441466136,Bundesliga,FC Schalke 04,-6.980421473484882,08/09
44.20533622434606,Bundesliga,Hannover 96,0.500546128595112,08/09
61.78559095846491,Bundesliga,VfL Wolfsburg,15.332056100358628,08/09
41.337776967654136,Bundesliga,1. FC Köln,2.2504583264635065,08/09
41.299618870487585,Bundesliga,Eintracht Frankfurt,-4.41726592931111,08/09
54.551019202297454,Bundesliga,Hertha BSC Berlin,15.860745503584903,08/09
39.211173509949454,Bundesliga,DSC Arminia Bielefeld,-7.917055862890631,08/09
64.07812681331959,Bundesliga,SV Werder Bremen,-13.784009166260775,08/09
36.620116397511154,Bundesliga,FC Energie Cottbus,-3.0907046328052754,08/09
53.11516683690899,Bundesliga,TSG 1899 Hoffenheim,8.355421398385118,08/09
40.87625639728719,Bundesliga,Borussia Mönchengladbach,-6.229197573757777,08/09
59.97588238160005,Bundesliga,VfB Stuttgart,11.553529383105824,08/09
38.57410323961698,Bundesliga,Karlsruher SC,-6.162338533734622,08/09
